variance,skewness,class
2.252 ,-5.142 ,0
3.478 ,8.811 ,0
2.453 ,2.965 ,0
2.970 ,5.622 ,0
5.723 ,5.831 ,0
-1.988 ,0.999 ,1
-1.618 ,1.093 ,1
4.093 ,5.413 ,0
3.586 ,-3.096 ,0
5.242 ,10.539 ,0
2.621 ,5.792 ,0
-1.279 ,2.138 ,1
-0.214 ,-0.683 ,1
0.743 ,11.170 ,0
0.520 ,-3.263 ,0
-5.119 ,6.649 ,1
-3.682 ,3.224 ,1
-2.262 ,-4.743 ,1
-0.627 ,-6.301 ,1
0.333 ,3.311 ,1
0.336 ,6.837 ,0
0.380 ,0.710 ,0
3.489 ,6.690 ,0
-4.209 ,4.728 ,1
1.822 ,-6.475 ,0
-5.637 ,8.126 ,1
1.024 ,6.901 ,0
-4.677 ,-5.664 ,1
-3.019 ,1.778 ,1
-2.412 ,-9.136 ,1
1.508 ,1.960 ,1
2.018 ,1.798 ,1
-0.062 ,6.198 ,0
3.300 ,7.081 ,0
-0.267 ,-0.646 ,1
4.434 ,9.887 ,0
3.692 ,-3.959 ,0
2.209 ,7.456 ,0
0.331 ,4.573 ,0
-2.420 ,-0.244 ,1
1.794 ,-1.117 ,0
0.110 ,1.974 ,1
-0.287 ,3.178 ,1
-2.575 ,-5.657 ,1
-1.562 ,-2.212 ,1
-2.462 ,2.765 ,1
4.259 ,11.296 ,0
-3.601 ,-6.539 ,1
-1.755 ,-0.081 ,1
1.208 ,4.074 ,1
2.014 ,6.142 ,0
-3.388 ,-8.215 ,1
3.544 ,1.240 ,0
1.040 ,-6.932 ,0
-0.787 ,9.566 ,0
-3.320 ,-0.027 ,1
4.568 ,3.193 ,0
-3.492 ,-12.174 ,1
-3.269 ,-12.741 ,1
-2.218 ,-1.254 ,1
-0.365 ,2.893 ,1
0.573 ,9.194 ,0
3.972 ,1.037 ,0
2.486 ,-0.995 ,0
-2.075 ,1.277 ,1
2.803 ,9.086 ,0
0.705 ,0.172 ,1
-0.349 ,3.193 ,1
-0.620 ,0.559 ,1
0.662 ,9.659 ,0
3.990 ,-2.707 ,0
-1.150 ,1.295 ,0
4.005 ,0.459 ,0
3.203 ,5.759 ,0
-5.882 ,7.658 ,1
-3.116 ,-8.629 ,1
0.548 ,10.375 ,0
0.343 ,0.124 ,1
3.798 ,10.423 ,0
2.507 ,1.159 ,0
-2.914 ,-9.471 ,1
3.896 ,-4.790 ,0
2.146 ,6.080 ,0
1.518 ,5.695 ,0
-2.167 ,1.593 ,1
0.947 ,-0.571 ,0
4.052 ,5.680 ,0
2.796 ,2.121 ,0
1.309 ,4.923 ,0
4.729 ,2.107 ,0
-2.015 ,3.687 ,1
2.373 ,10.473 ,0
0.868 ,10.243 ,0
2.672 ,5.657 ,0
0.571 ,-0.025 ,0
0.380 ,0.710 ,0
0.862 ,2.696 ,0
-5.048 ,-5.802 ,1
3.943 ,2.502 ,0
2.570 ,-4.408 ,0
-1.967 ,11.805 ,0
2.001 ,1.864 ,0
-1.942 ,0.377 ,1
-1.119 ,3.336 ,1
-3.224 ,2.794 ,1
3.977 ,11.151 ,0
-4.233 ,4.917 ,1
1.590 ,2.295 ,0
2.307 ,3.536 ,0
-2.066 ,0.170 ,1
1.732 ,-0.348 ,0
2.614 ,8.008 ,0
3.156 ,2.891 ,0
-0.699 ,-3.377 ,1
2.556 ,3.361 ,0
5.121 ,8.557 ,0
-1.918 ,11.689 ,0
-0.420 ,2.909 ,1
0.329 ,-4.455 ,0
-5.386 ,9.121 ,1
-3.941 ,-12.879 ,1
4.297 ,7.617 ,0
3.515 ,6.822 ,0
-3.886 ,-12.846 ,1
-3.408 ,4.859 ,1
-5.030 ,7.503 ,1
-3.278 ,1.802 ,1
-2.508 ,-0.228 ,1
1.340 ,4.132 ,1
-2.221 ,-0.238 ,1
-1.624 ,-6.344 ,1
0.570 ,7.629 ,0
-1.101 ,-7.251 ,1
-1.056 ,0.795 ,1
-1.307 ,0.252 ,1
3.546 ,9.372 ,0
0.814 ,9.157 ,0
3.270 ,-4.341 ,0
-1.585 ,-2.156 ,1
0.273 ,4.877 ,1
4.145 ,7.257 ,0
-4.397 ,4.960 ,1
4.808 ,2.233 ,0
-4.148 ,7.123 ,1
-2.258 ,-9.326 ,1
2.942 ,7.410 ,0
-2.053 ,3.839 ,1
-0.959 ,-6.713 ,1
-3.564 ,-8.383 ,1
3.529 ,0.716 ,0
4.891 ,-3.358 ,0
0.143 ,-1.089 ,1
